CarID,CarMake,CarModel,PlateNo,RegistrationDate,RegistrationExpiryDate
CAR484,Honda,SUV,C-1703,2023-07-21,2024-07-20
CAR115,Audi,Compact,D-7774,2024-04-18,2025-04-18
CAR268,Mercedes,SUV,F-5639,2023-04-28,2024-04-27
CAR858,BMW,Luxury,D-1702,2023-05-24,2024-05-23
CAR877,Audi,SUV,B-2279,2024-01-25,2025-01-24
CAR139,Toyota,Sedan,F-7369,2024-02-04,2025-02-03
CAR610,Nissan,Compact,D-4393,2024-08-10,2025-08-10
CAR350,Mercedes,Luxury,C-6214,2024-04-29,2025-04-29
CAR206,Mercedes,Sports,D-5720,2024-01-10,2025-01-09
CAR888,Nissan,Sports,E-6324,2023-02-12,2024-02-12
CAR469,Honda,Sedan,D-1414,2024-06-02,2025-06-02
CAR493,Honda,Compact,B-1769,2024-03-30,2025-03-30
CAR638,BMW,Luxury,C-9238,2023-04-25,2024-04-24
CAR522,Nissan,Sedan,F-1052,2024-08-10,2025-08-10
CAR211,Toyota,Luxury,A-5750,2024-06-07,2025-06-07
CAR938,BMW,Sports,B-4650,2023-11-12,2024-11-11
CAR781,Mercedes,SUV,D-6521,2024-03-21,2025-03-21
CAR846,Nissan,Luxury,A-6738,2024-01-29,2025-01-28
CAR971,BMW,Compact,B-5626,2024-01-31,2025-01-30
CAR664,Audi,Compact,F-7431,2023-12-22,2024-12-21
CAR221,BMW,SUV,D-7760,2024-04-30,2025-04-30
CAR122,Audi,Compact,F-8945,2022-12-31,2023-12-31
CAR102,BMW,SUV,A-2174,2023-05-10,2024-05-09
CAR613,Nissan,Luxury,B-2983,2024-10-13,2025-10-13
CAR466,Honda,Sedan,A-3724,2024-05-02,2025-05-02
CAR265,Mercedes,Sports,F-8474,2023-07-24,2024-07-23
CAR337,Toyota,SUV,A-8207,2023-10-11,2024-10-10
CAR697,Audi,Compact,B-8818,2024-06-28,2025-06-28
CAR722,Toyota,Sedan,F-4669,2024-06-26,2025-06-26
CAR345,Honda,Sedan,E-6272,2024-09-06,2025-09-06
CAR687,BMW,Luxury,C-1607,2024-10-16,2025-10-16
CAR928,Nissan,Compact,E-9008,2023-07-03,2024-07-02
CAR156,Mercedes,Sports,F-4589,2022-12-31,2023-12-31
CAR418,Mercedes,SUV,E-3959,2024-10-27,2025-10-27
CAR208,Nissan,Sedan,D-5703,2023-01-27,2024-01-27
CAR982,Nissan,Compact,C-4229,2023-08-12,2024-08-11
CAR412,Honda,Sedan,D-9370,2024-08-09,2025-08-09
CAR603,BMW,Compact,D-1803,2023-07-28,2024-07-27
CAR943,Honda,Luxury,F-3271,2024-04-04,2025-04-04
CAR522,Mercedes,Luxury,F-4482,2023-05-08,2024-05-07
CAR786,Nissan,Luxury,D-8810,2024-02-20,2025-02-19
CAR150,Audi,Luxury,F-1213,2024-10-09,2025-10-09
CAR862,Honda,Compact,D-8535,2024-07-24,2025-07-24
CAR555,Toyota,Luxury,D-1442,2024-05-15,2025-05-15
CAR953,Mercedes,Compact,A-3214,2024-05-22,2025-05-22
CAR358,Honda,SUV,F-9168,2023-05-10,2024-05-09
CAR516,Audi,Sedan,B-4769,2022-11-27,2023-11-27
CAR817,Honda,Luxury,F-3130,2023-08-13,2024-08-12
CAR902,Mercedes,Luxury,C-9537,2023-01-01,2024-01-01
CAR325,Audi,SUV,C-7602,2024-10-10,2025-10-10
CAR361,BMW,SUV,F-6822,2023-04-25,2024-04-24
CAR456,Honda,Compact,E-8630,2024-08-24,2025-08-24
CAR171,Audi,Sports,D-8381,2023-02-12,2024-02-12
CAR765,BMW,Compact,F-2022,2024-07-30,2025-07-30
CAR414,Audi,Sports,A-6934,2023-09-26,2024-09-25
CAR952,Toyota,Luxury,B-2251,2024-02-05,2025-02-04
CAR401,BMW,Compact,A-8258,2023-06-13,2024-06-12
CAR915,Nissan,Sports,F-7164,2023-07-17,2024-07-16
CAR442,Toyota,Sports,B-7142,2023-09-23,2024-09-22
CAR117,Toyota,Sports,E-9094,2023-06-29,2024-06-28
CAR817,BMW,Sports,F-8618,2022-12-24,2023-12-24
CAR527,Audi,SUV,C-6597,2024-10-04,2025-10-04
CAR380,Mercedes,Luxury,B-6129,2024-02-20,2025-02-19
CAR207,Toyota,SUV,B-7338,2022-11-12,2023-11-12
CAR659,Honda,Luxury,E-3881,2023-08-19,2024-08-18
CAR589,BMW,Sports,E-9519,2024-07-04,2025-07-04
CAR493,Nissan,Luxury,C-8135,2024-10-26,2025-10-26
CAR466,Honda,Sports,D-5600,2023-03-27,2024-03-26
CAR932,Mercedes,Compact,A-9000,2023-12-31,2024-12-30
CAR936,Honda,Sports,C-6698,2022-12-01,2023-12-01
CAR741,Honda,Luxury,C-8138,2024-10-08,2025-10-08
CAR431,Mercedes,Sports,C-9961,2024-08-08,2025-08-08
CAR501,Audi,Luxury,D-8301,2022-12-03,2023-12-03
CAR907,Honda,Luxury,A-5871,2023-04-21,2024-04-20
CAR490,Toyota,Sedan,A-1480,2023-08-26,2024-08-25
CAR286,Mercedes,SUV,A-1281,2023-09-13,2024-09-12
CAR221,Toyota,Compact,E-5240,2023-02-01,2024-02-01
CAR509,Mercedes,Sports,C-4489,2024-04-15,2025-04-15
CAR815,Mercedes,Luxury,E-3229,2023-10-26,2024-10-25
CAR168,BMW,Luxury,A-7375,2023-10-30,2024-10-29
CAR422,BMW,SUV,F-9471,2023-04-25,2024-04-24
CAR622,Mercedes,SUV,D-6551,2023-04-12,2024-04-11
CAR482,Nissan,Luxury,F-3069,2024-10-23,2025-10-23
CAR334,Audi,Sports,B-8475,2023-07-20,2024-07-19
CAR462,Mercedes,Sports,C-4019,2023-08-11,2024-08-10
CAR145,Audi,Sports,A-6311,2024-09-12,2025-09-12
CAR714,Nissan,SUV,E-7387,2022-12-11,2023-12-11
CAR748,Toyota,SUV,E-1343,2023-08-25,2024-08-24
CAR233,Nissan,Sports,A-2501,2023-10-27,2024-10-26
CAR481,Nissan,Compact,C-4469,2022-11-11,2023-11-11
CAR107,Audi,Compact,E-5063,2023-11-28,2024-11-27
CAR229,Mercedes,Sedan,C-2476,2023-03-06,2024-03-05
CAR806,Toyota,Compact,F-5569,2023-01-30,2024-01-30
CAR148,Mercedes,Sedan,E-9605,2024-03-09,2025-03-09
CAR107,Audi,Compact,E-6670,2024-07-19,2025-07-19
CAR482,Nissan,SUV,C-8312,2023-12-12,2024-12-11
CAR358,Mercedes,Sports,E-9760,2024-03-12,2025-03-12
CAR200,Toyota,Sedan,C-5001,2023-12-28,2024-12-27
CAR101,Honda,Luxury,D-7171,2024-09-11,2025-09-11
CAR530,Honda,SUV,D-5082,2023-06-10,2024-06-09
CAR404,Toyota,Sedan,E-4882,2023-08-06,2024-08-05
CAR468,Honda,Luxury,A-8491,2024-07-27,2025-07-27
CAR143,BMW,Luxury,E-3195,2023-07-26,2024-07-25
CAR253,Toyota,Sports,A-4839,2023-09-04,2024-09-03
CAR613,BMW,Compact,E-3359,2024-05-28,2025-05-28
CAR466,Mercedes,Sedan,A-8820,2023-01-03,2024-01-03
CAR342,Mercedes,Luxury,E-6690,2023-06-24,2024-06-23
CAR565,Mercedes,Sports,D-5098,2024-09-01,2025-09-01
CAR113,BMW,Sports,A-4714,2023-09-21,2024-09-20
CAR154,Nissan,SUV,E-7034,2024-06-05,2025-06-05
CAR615,Toyota,Luxury,A-2487,2023-12-08,2024-12-07
CAR558,BMW,Sports,E-9362,2024-10-19,2025-10-19
CAR553,BMW,Sports,C-4535,2023-03-23,2024-03-22
CAR712,Nissan,Sedan,E-3636,2023-12-12,2024-12-11
CAR217,Mercedes,SUV,D-1386,2024-11-01,2025-11-01
CAR682,Nissan,Sports,A-5725,2023-03-06,2024-03-05
CAR317,Toyota,Luxury,D-1293,2023-07-30,2024-07-29
CAR498,Honda,Luxury,F-8918,2024-08-10,2025-08-10
CAR167,Nissan,Sedan,D-7482,2024-08-22,2025-08-22
CAR288,Nissan,SUV,B-6605,2022-12-21,2023-12-21
CAR589,Honda,Sedan,A-6610,2023-02-17,2024-02-17
CAR937,Audi,Luxury,D-8686,2023-07-26,2024-07-25
CAR557,Honda,Sedan,D-8212,2024-09-29,2025-09-29
CAR368,Honda,Sports,E-5279,2023-04-29,2024-04-28
CAR659,Mercedes,Compact,E-5200,2022-11-23,2023-11-23
CAR780,Audi,SUV,B-9845,2024-10-14,2025-10-14
